     mag        RA       DEC         x         y         z        vx        vy        vz 
   23.36     201.0     -4.12     -83.7     -33.3      -7.0       4.1     -21.5       1.1 
   22.98    202.38     -9.02     -86.8     -31.2     -14.8       9.2     -23.6       4.1 
   23.27    198.24     -5.17     -89.6     -25.9      -7.5       4.1     -17.7       2.1 
   23.48    207.11      -4.0     -76.9     -44.0      -6.1       4.4     -17.6      -4.4 
   23.41    201.47     -0.82     -81.0     -31.4      -1.3       3.1     -16.4       1.0 
   23.49     204.6      0.11     -83.1     -39.0       0.2       2.6     -19.1       4.9 
   23.07     204.4     -0.99     -91.2     -39.8      -1.7       7.3     -20.6       2.3 
   23.45    202.82     -3.94     -88.1     -33.7      -5.9       2.7     -19.4      -0.8 
   23.29    205.07     -8.12     -75.3     -39.2     -13.2       4.0     -17.4      -3.4 
   23.13    202.28     -4.01     -86.9     -35.5      -6.1       7.4     -18.0       2.6 
   23.17    208.35      -2.3     -75.1     -43.5      -3.7       2.3     -20.0       1.1 
   23.39    202.27     -2.59     -78.1     -33.2      -3.9       2.7     -16.2      -0.3 
   23.22    204.26     -1.67     -80.2     -38.7      -2.6       4.6     -18.7       1.8 
   23.45    203.72     -1.02     -85.8     -33.3      -1.7       0.4     -14.3      -1.1 
   23.26    200.21     -1.97     -76.5     -30.4      -3.1       4.6     -18.7      -1.6 
   23.24    201.91      0.27     -76.8     -33.3       0.5       6.8     -17.9       1.4 
   19.37    200.69     -9.26     -91.3     -30.5     -14.5       2.6     -20.2      -0.7 
   22.36    205.99     -6.76     -82.6     -40.0     -10.3       1.0     -18.7       0.4 
   23.49    202.65     -2.82     -90.7     -36.9      -4.4       4.7     -18.3       0.7 
   23.24     203.8     -6.89     -89.1     -36.2     -10.8       2.2     -21.1      -1.2 
   22.78    202.07      0.67     -79.5     -32.6       1.1       3.3     -21.1      -0.9 
   23.32    200.47     -5.46     -87.6     -29.4      -9.1       2.6     -18.6      -0.5 
    23.3     209.7     -2.55     -76.7     -43.9      -4.3       0.9     -17.2      -3.3 
   22.69    203.72     -4.56     -87.4     -35.7      -6.9       0.7     -17.8      -2.8 
   23.48    204.01       2.3     -86.7     -40.3       3.4       3.4     -20.3       0.8 
   23.46    205.51     -5.41     -85.9     -38.0      -8.7       4.3     -19.7      -1.8 
   23.39    203.62      3.93     -77.1     -37.9       6.0       3.6     -15.6      -3.3 
   20.56    199.46     -8.09     -81.4     -33.5     -13.0       1.9     -19.0      -0.4 
   23.39    200.38     -2.35     -85.6     -32.4      -3.7       1.9     -16.1      -0.7 
   23.08    204.47    -11.45     -80.4     -33.1     -16.7       3.8     -22.6       5.3 
   23.12    199.83     -5.76     -89.6     -30.9      -8.8       3.0     -20.6       0.7 
   23.49    196.15     -0.92     -86.2     -24.8      -1.5       5.9     -20.0       0.5 
   22.38    193.93      -7.4     -92.5     -22.5     -12.1       4.0     -19.5       2.8 
   23.47    201.03      0.68     -92.7     -33.7       1.1       3.3     -20.6       1.8 
   23.26    192.55      0.82     -86.8     -18.8       1.2       3.9     -16.9       3.8 
   23.46    202.22     -3.16     -79.9     -33.1      -5.2       1.5     -17.1       5.0 
   23.09    203.13     -2.32     -80.7     -31.3      -3.5      -3.6     -18.6      -0.4 
   23.43    193.64     -2.49     -87.5     -21.3      -3.8       0.9     -16.8      -2.5 
   23.37    197.97      4.34     -81.1     -26.8       7.1       4.4     -18.9      -0.5 
   22.88     206.1     -0.56     -81.9     -40.8      -0.9       5.1     -18.5       1.8 
   23.32    200.23      1.92     -76.9     -34.5       3.4       1.1     -20.2      -1.5 
   23.19    200.42     -4.81     -82.8     -31.2      -7.8       6.9     -17.0       3.1 
   22.98    201.49      -9.6     -83.7     -32.3     -15.4       3.3     -16.9      -0.1 
   23.45    199.91     -1.76     -81.4     -30.1      -2.7       5.3     -19.0       0.5 
   22.95    203.43     -7.65     -78.8     -35.3     -11.4       6.1     -18.0       2.0 
   23.28    204.48     -7.62     -73.2     -37.9     -11.6      -0.1     -21.3       1.9 
   23.37    200.54      -4.5     -73.4     -31.4      -6.4       3.9     -20.2       4.4 
   23.45    203.34      1.68     -79.4     -35.5       2.9       2.9     -20.6       1.0 
   20.98    204.19     -3.08     -80.7     -38.3      -4.6       9.2     -18.7       1.6 
   23.31    201.72     -5.06     -84.2     -34.0      -8.9       5.5     -17.3      -0.4 
   20.55    202.97     -5.75     -91.6     -34.8      -9.3       4.0     -18.2       1.6 
   22.71    204.99     -5.31     -82.6     -39.6      -8.2       2.3     -18.5      -0.2 
   23.07     201.9     -4.06     -81.9     -34.6      -6.1       4.2     -20.7       1.6 
   23.49    198.84     -6.88     -86.1     -28.9     -11.7       4.9     -16.5      -2.7 
   22.76    200.29      -4.8     -81.2     -32.1      -7.5       7.1     -18.7       1.4 
   23.41    197.63      1.53     -81.6     -25.7       2.3       6.1     -20.1       1.4 
   23.22     206.3      1.54     -84.0     -37.2       2.3       3.7     -14.4       1.2 
   23.35    198.84      0.23     -88.5     -29.3       0.4       7.5     -19.9      -3.5 
    23.3    201.67     -3.53     -88.0     -32.6      -5.9       1.6     -20.5      -0.9 
   23.48    201.48      1.91     -78.8     -32.3       3.2       4.8     -14.0      -1.2 
   23.41    203.98     -3.02     -85.8     -34.0      -5.1       2.4     -20.9      -3.7 
   22.08     199.1      -3.9     -86.8     -29.3      -6.4       4.3     -17.9       1.5 
    23.0    202.16      -6.7     -84.7     -34.1     -10.3       5.4     -20.1       2.8 
   23.01    204.48     -4.38     -80.5     -41.8      -7.4       3.6     -15.0      -0.8 
   23.37    207.01     -2.05     -79.0     -40.4      -3.8       3.3     -18.3       1.2 
    23.1    203.25     -5.15     -84.0     -36.3      -8.5       4.3     -17.5       2.9 
   23.43    200.24      -3.0     -87.6     -30.6      -4.3       2.1     -21.0      -0.9 
   23.26    205.36      0.75     -73.4     -37.7       1.2       5.5     -21.9      -0.4 
   22.94    199.36     -6.09     -78.0     -32.5      -9.5       3.1     -16.9       0.2 
   23.17    204.86     -5.15     -84.6     -41.6      -8.2       0.7     -16.2       0.8 
   23.36    200.24     -1.69     -77.1     -32.4      -2.7       5.2     -21.0       2.1 
   23.48    198.96     -2.24     -78.2     -29.7      -3.7       0.8     -16.9       3.3 
   23.19    208.17     -5.14     -79.8     -40.6      -8.2       3.0     -20.3      -2.5 
   23.33    201.83     -6.17     -80.5     -32.8      -9.4       5.8     -17.9       2.8 
   23.48    205.99     -4.25     -80.8     -38.9      -6.8       1.7     -17.6       0.3 
   22.53    201.32     -1.89     -90.9     -33.8      -3.2       1.7     -20.8       1.0 
   23.03    204.38     -0.64     -81.0     -37.8      -1.0       6.2     -19.8       3.3 
    23.3    200.24    -10.66     -80.5     -31.4     -16.6       5.1     -15.6       0.4 
   23.15    201.52      -4.8     -79.1     -30.3      -6.7       2.4     -19.4       3.6 
   23.31     203.8     -3.01     -75.5     -35.4      -5.0       3.5     -16.4       1.1 
   22.56    204.31     -2.95     -88.6     -37.5      -4.7       7.2     -18.4       0.8 
   23.28    205.65     -8.47     -84.2     -40.8     -12.2       1.7     -18.2      -0.9 
   23.35     204.7     -4.61     -78.4     -38.3      -7.0       4.0     -17.9      -0.1 
   23.48    203.58     -2.29     -80.5     -32.9      -3.5       2.4     -15.0       0.4 
   22.48    202.84      -1.3     -81.8     -34.9      -2.2       2.4     -20.3       2.5 
   23.18    199.32     -0.19     -94.1     -30.7      -0.3       2.2     -20.6      -0.2 
   23.43    200.98     -6.32     -76.2     -29.0     -10.4       4.2     -18.1       2.3 
   23.29    206.28      0.71     -69.0     -40.1       1.2       4.8     -21.0      -0.9 
   23.37    201.37      -7.4     -89.3     -35.4     -11.6       1.1     -18.1       2.8 
   23.49    199.74      5.07     -81.7     -30.1       7.8       4.6     -21.7      -2.7 
   23.42    201.69     -1.51     -83.5     -33.0      -2.3       8.2     -18.7      -2.3 
   23.48    207.19      1.66     -81.3     -46.0       2.6       4.3     -17.3      -1.1 
   23.44    206.03     -5.45     -84.8     -40.9      -8.6       4.4     -19.1       0.1 
   23.44    202.08     -1.91     -83.6     -32.8      -3.1       0.7     -21.5       2.5 
    23.2    198.44     -1.85     -87.5     -29.9      -2.8       3.2     -21.1       1.8 
   23.35    204.64     -3.98     -79.0     -38.3      -6.6       3.9     -15.5      -1.1 
   23.35    198.08     -2.46     -91.7     -29.7      -3.7       5.0     -17.4       0.6 
   23.26    199.89     -6.12     -84.4     -31.2      -9.5       4.6     -23.2       1.5 
   23.18    203.16      1.22     -86.6     -31.3       1.7       2.0     -17.9       0.3 
   23.13    203.08     -8.91     -86.1     -35.5     -13.4       3.9     -18.7      -0.7 
   23.48    201.94     -0.41     -77.5     -32.6      -0.7       1.7     -17.9      -1.9 
   23.47    205.38      -4.4     -73.1     -37.8      -7.0       2.5     -20.3       2.3 
   23.49    198.71      2.01     -93.2     -28.6       3.0       3.6     -16.5       3.3 
   23.21    201.48      1.05     -77.8     -32.5       1.7       5.8     -19.8       2.9 
   22.93    203.07     -8.74     -79.0     -34.4     -13.5       7.3     -17.0      -0.9 
   23.29     195.9     -2.07     -87.8     -23.7      -2.8       2.2     -16.8      -1.1 
   23.28    204.78     -2.15     -86.8     -38.5      -3.5       1.8     -17.7      -2.3 
   23.07    199.49     -2.07     -87.9     -31.9      -3.2       3.9     -16.7      -0.4 
   23.05    203.36      -1.3     -80.9     -37.2      -1.8       6.6     -18.9      -0.7 
   23.15    202.26     -2.01     -88.6     -35.3      -2.8       6.1     -15.8       2.5 
   22.92     202.6     -0.88     -81.1     -36.2      -1.4       6.2     -19.0       2.1 
   23.39    205.78     -4.11     -81.2     -35.0      -6.0       6.1     -18.6       1.1 
   22.29    199.28     -2.39     -80.0     -29.8      -3.6       1.7     -18.3       0.3 
   22.58    203.26    -10.01     -82.2     -37.2     -15.5       5.5     -18.1       1.2 
   23.39    201.91     -8.96     -78.8     -32.8     -13.4       2.3     -18.4      -1.7 
   23.15    203.18     -0.63     -86.1     -35.1      -0.9       2.9     -16.5       4.0 
   23.17    209.35    -10.38     -82.5     -39.1     -15.1       6.2     -17.4      -0.9 
    23.1    206.84      -9.7     -89.1     -37.7     -15.4       3.7     -12.5       0.5 
   23.36    203.06    -11.48     -82.1     -32.4     -20.0       1.8     -15.9       1.6 
    23.1    197.18     -3.08     -84.1     -24.1      -4.6       0.1     -18.5       0.5 
   23.43    203.14     -0.14     -73.8     -35.4      -0.2       6.2     -21.9      -1.6 
   23.26    201.66     -2.94     -87.1     -30.3      -4.1       4.8     -19.1       4.6 
   22.59    207.41     -1.62     -78.7     -42.4      -2.5       5.7     -20.8       1.5 
   23.21    203.22     -9.64     -76.1     -34.4     -14.5       6.1     -17.9       4.6 
   23.48    202.14     -6.12     -78.9     -32.4      -9.4       4.1     -20.2       2.3 
    23.3    205.92     -0.02     -89.7     -39.8      -0.0       3.8     -17.7      -0.5 
    23.4    202.87     -1.36     -84.8     -37.9      -2.3       3.9     -18.1      -1.6 
   23.14    199.79     -1.09     -79.5     -30.1      -1.7       3.1     -18.4      -0.6 
   23.03    201.54     -7.28     -87.8     -33.4      -9.9       4.6     -19.8      -0.3 
    22.9     202.0     -1.54     -90.2     -31.0      -2.3       6.6     -19.7      -2.3 
   22.52    200.69       2.2     -77.7     -32.9       3.6       4.3     -18.2      -0.1 
   23.49     205.4     -3.41     -80.3     -37.9      -5.4       3.9     -19.3       1.2 
   23.48    204.81     -1.07     -79.0     -36.5      -1.8       4.1     -20.2      -3.0 
   23.26    203.63      -5.0     -82.8     -36.7      -8.3       7.8     -19.8       5.3 
   23.21    203.17     -4.11     -83.3     -34.3      -6.5       1.4     -16.2       1.0 
   23.02    207.63      -7.8     -73.8     -43.4     -12.6       5.7     -14.9       3.0 
   23.45    198.86     -3.16     -83.7     -30.4      -5.3       5.4     -17.5       1.3 
   23.12    203.48     -6.45     -80.1     -36.8      -9.5       3.3     -21.8       2.1 
   23.16    205.77     -5.51     -78.8     -37.2      -8.8       6.3     -25.4      -1.8 
   23.42     205.6     -3.16     -93.1     -40.7      -5.0       2.1     -15.8       0.0 
   23.33    204.04     -4.92     -80.0     -37.1      -7.3       2.8     -17.9       1.3 
   23.36    205.81     -5.55     -80.5     -38.5      -8.5       2.9     -19.1       4.0 
   23.42    196.92     -4.68     -87.5     -27.6      -7.8       5.6     -17.1       1.7 
   23.04    206.64     -4.31     -81.2     -39.2      -6.3       5.8     -18.9       2.6 
   23.12    200.82     -6.98     -82.3     -34.8     -11.8       0.2     -18.3       0.2 
   23.24    204.42     -3.59     -85.9     -36.7      -5.1       2.7     -17.7       3.1 
   23.21    205.41     -2.85     -73.6     -36.5      -4.6       3.3     -14.7       1.2 
   23.12    203.28     -2.46     -81.4     -37.1      -3.5       3.0     -16.4       0.8 
   22.79     204.1     -5.03     -86.3     -35.7      -8.7       4.4     -18.7       0.5 
   23.17     200.2     -5.99     -85.7     -30.2      -9.5      -0.1     -17.8       0.9 
    19.6     201.1     -1.28     -77.8     -31.2      -2.2       3.4     -20.5       2.0 
   18.83    207.35     -6.02     -79.8     -38.6     -10.1       4.1     -20.1      -0.6 
   22.81    206.46     -4.87     -75.6     -41.2      -8.0       3.1     -17.4      -0.3 
   23.28     207.2     -2.94     -82.7     -44.8      -4.8       5.6     -20.4       1.4 
   23.44    203.96     -0.94     -86.7     -36.7      -1.6       6.0     -20.1       0.4 
   23.34    207.23     -3.05     -74.0     -43.7      -4.7       4.3     -19.2       0.2 
   23.02     200.5     -2.79     -88.8     -32.4      -4.7       6.5     -20.6      -0.1 
   22.89    202.29     -6.95     -76.5     -37.0     -10.7       6.1     -22.4       2.0 
   23.38    206.02     -3.41     -82.6     -38.7      -5.3       1.8     -19.2      -0.1 
   23.46    203.48     -2.65     -78.7     -37.9      -4.1       5.7     -19.5      -0.9 
   23.37    201.67     -2.89     -82.5     -32.8      -4.5       2.2     -16.6      -3.4 
   22.84    205.16      0.53     -79.1     -39.2       0.8       8.2     -16.6       1.1 
   23.16    207.48     -4.22     -85.3     -40.9      -6.6       5.8     -14.5       3.0 
   23.12    199.29     -0.81     -85.2     -28.0      -1.3       4.9     -19.8      -0.1 
   23.16    203.25     -1.87     -77.8     -37.8      -2.9       5.9     -17.2       0.2 
   23.03    207.39    -10.59     -82.5     -42.6     -17.2       2.0     -17.1      -1.5 
   22.96    200.06     -5.34     -85.1     -32.7      -8.6       2.6     -16.1       2.9 
   23.36    205.44     -4.57     -89.2     -39.7      -7.3       2.4     -19.3      -2.1 
   23.43     203.5     -1.48     -81.8     -36.3      -2.2       6.3     -20.1      -0.5 
   23.39     206.6     -5.72     -78.5     -37.7      -8.4       1.6     -17.2       0.4 
    23.0    201.86     -5.83     -85.2     -33.6      -8.7       3.6     -20.1      -0.2 
   23.13    203.56     -0.59     -75.0     -33.9      -0.9       2.4     -20.8      -1.1 
   23.24    203.46      1.41     -83.9     -33.9       2.0       4.7     -18.3       0.3 
   23.49     199.4     -6.08     -74.2     -30.9      -9.1       0.2     -17.5       3.3 
   22.41     198.8     -4.93     -86.5     -30.2      -7.6       3.6     -20.4       1.7 
   23.41    202.46     -5.59     -89.5     -36.5      -8.7       4.7     -19.0       0.7 
    23.3    209.15     -0.27     -80.1     -40.8      -0.5       3.6     -16.5      -2.1 
   23.34    201.71     -6.71     -92.1     -30.2      -9.8       3.3     -22.1       1.7 
   23.24     204.7      -3.4     -80.2     -36.9      -5.2       5.6     -17.9      -0.5 
   22.88    198.95      0.44     -82.4     -30.4       0.7       4.6     -18.9       4.5 
    23.3    200.04      2.92     -83.5     -33.2       4.3       3.2     -19.6      -0.4 
   23.48    197.26     -6.58     -93.1     -25.5     -10.1       3.6     -19.6       0.8 
   23.14    201.19     -0.94     -82.5     -32.7      -1.5       7.7     -19.8       0.7 
   20.63     200.1     -5.39     -92.1     -30.2      -8.6      -0.3     -20.9      -1.8 
   23.44    203.54     -4.74     -84.1     -35.3      -6.9       2.3     -22.2      -1.3 
   23.48    201.98     -3.84     -84.5     -34.3      -6.3       3.5     -18.1       0.3 
   22.78    200.56     -5.47     -87.8     -32.8      -8.5       4.3     -21.5       3.4 
   22.44    205.56      2.78     -79.1     -34.8       4.2       9.3     -20.8       1.9 
   23.09    204.29     -2.83     -74.8     -37.2      -4.8       5.0     -20.4      -0.6 
   23.36    203.15     -1.53     -85.4     -37.4      -2.4       2.6     -17.5       2.7 
   23.32    207.67     -4.14     -79.8     -42.9      -6.0       2.8     -20.5      -0.8 
   23.44    203.17     -4.63     -69.4     -33.8      -7.4       3.3     -14.7       2.2 
   23.48    207.54     -5.41     -70.7     -41.9      -8.6       8.4     -15.7      -0.3 
   20.79    202.36     -1.79     -80.0     -36.4      -2.8       2.8     -19.5      -0.9 
   23.43    203.53     -8.51     -81.1     -39.0     -13.3       4.7     -16.5      -0.3 
   23.33    204.93     -5.06     -76.6     -37.7      -7.7       7.0     -19.4      -3.6 
   23.34    201.67      -6.7     -90.0     -32.5     -10.6       2.3     -17.1       0.3 
   18.85    202.65     -2.17     -91.1     -37.6      -3.6       7.5     -17.0       0.0 
   22.99    202.03     -3.35     -80.0     -32.8      -5.3       4.7     -14.4      -3.0 
   23.46    208.27      1.72     -83.4     -42.9       2.9       4.7     -16.8      -4.2 
   23.44    200.23     -9.77     -82.9     -32.5     -15.2       3.1     -22.8      -0.8 
   23.44    202.45     -1.66     -74.9     -33.2      -2.6       5.1     -18.8       2.2 
   23.39    204.32      0.93     -84.4     -37.5       1.5       4.7     -15.7      -1.3 
   23.44    202.16     -0.89     -89.5     -33.7      -1.4       4.6     -20.5       0.5 
   23.39    201.69     -2.15     -91.6     -31.7      -3.3       1.7     -18.7       3.0 
   22.36    199.63     -7.81     -81.0     -29.0     -13.7       5.2     -16.4      -1.0 
   23.05    196.75      -3.6     -93.0     -27.4      -5.4       1.2     -21.7      -1.0 
   23.15    203.28    -11.51     -83.1     -36.9     -18.4       1.0     -21.3       1.6 
   23.41    206.38     -1.38     -85.9     -39.5      -2.3       1.1     -22.0       2.3 
   23.32    198.05     -1.44     -83.9     -25.6      -2.5       3.9     -17.6       2.1 
   23.42    201.86      0.01     -87.7     -32.3       0.0       5.3     -15.4      -0.5 
   23.48    203.04     -5.58     -71.9     -34.7      -8.9       6.6     -16.1      -2.7 
   19.02    204.37      -2.4     -82.4     -35.5      -3.4       3.3     -23.2       1.0 
   23.45    202.14     -5.39     -84.2     -35.2      -8.5       5.5     -17.2       0.7 
   23.41    200.66     -7.73     -82.2     -30.7     -12.6       3.0     -18.5       1.3 
   22.96    204.12     -3.61     -80.3     -35.8      -5.1       5.4     -20.2       2.9 
   23.15    201.02     -1.75     -88.6     -32.9      -2.6       3.9     -18.4      -0.2 
   22.93    199.02     -1.38     -80.5     -33.9      -2.0       3.6     -15.5      -0.7 
   23.35    202.44     -3.48     -87.6     -35.5      -5.9       5.3     -18.6      -1.3 
   23.21    203.49     -7.45     -80.3     -33.1     -11.5       6.4     -20.1       0.8 
   23.21    198.59      1.42     -88.4     -29.3       2.1       5.3     -18.4       4.2 
   23.08     195.6     -1.32     -81.4     -25.1      -2.0       0.6     -16.2      -0.1 
   23.13    201.55     -8.37     -77.0     -33.7     -13.3       1.8     -20.3       2.2 
   22.72    202.48     -4.14     -86.0     -32.6      -6.7       8.5     -16.2       2.8 
   23.34    199.63     -5.82     -88.2     -31.1      -8.5       5.7     -20.7      -0.3 
    20.2    205.09      0.86     -82.3     -33.8       1.2       3.6     -19.4       3.2 
   23.33    205.91      0.83     -79.0     -39.7       1.1       6.4     -14.1       4.8 
   20.26    205.28     -4.38     -83.6     -35.8      -6.8       1.5     -23.5       0.3 
   23.39    202.28       0.1     -79.4     -34.2       0.2       4.7     -17.5       0.9 
   23.04    199.96     -8.36     -79.2     -28.4     -13.0       3.0     -17.3       1.1 
    22.7    200.31     -4.68     -84.7     -30.4      -7.2       2.8     -19.4      -2.9 
   23.23    201.19     -3.93     -79.2     -34.2      -6.6       6.0     -15.9       2.5 
    22.3    195.26     -2.29     -88.4     -21.2      -3.6       3.7     -19.5      -1.5 
   23.49    198.78     -2.83     -77.1     -27.2      -4.5       3.0     -19.2      -1.4 
   23.49    203.35     -1.67     -78.4     -40.0      -2.9       1.7     -16.7       0.4 
   23.33    201.79     -5.42     -78.3     -34.7      -8.2       1.4     -21.2      -3.4 
   23.44    199.07     -4.46     -85.5     -30.3      -7.0       2.5     -16.7       0.1 
   23.39    201.05     -1.18     -84.2     -30.4      -1.6       2.9     -21.7      -1.8 
   22.96    200.17      -5.9     -84.6     -33.9      -9.3       5.0     -19.5       0.4 
    23.4    205.77     -2.32     -87.1     -41.0      -4.1       5.5     -20.4       1.2 
   23.24    201.49     -6.79     -80.4     -35.1     -10.9       6.2     -17.5      -0.3 
   23.37    202.96     -1.71     -86.7     -35.2      -2.6       0.9     -18.0       3.5 
   23.33    205.88      1.03     -84.1     -40.2       1.6       5.9     -19.4      -4.0 
    23.2    199.71     -1.97     -86.7     -28.3      -3.3       4.7     -22.0       2.4 
   20.53    200.02      2.44     -83.2     -29.2       3.6       0.2     -17.7       0.5 
   23.26    199.28     -6.86     -78.2     -28.8     -11.0       5.2     -21.4      -1.6 
   23.34    205.17      0.98     -88.4     -40.8       1.5       3.4     -18.6       0.9 
   19.45    206.15     -1.47     -74.6     -35.0      -2.3       4.0     -16.8      -1.1 
   20.08    202.84     -5.01     -79.9     -34.4      -8.4       2.7     -20.1      -0.3 
   23.42    202.49     -1.99     -89.6     -33.5      -3.1       4.5     -20.3      -0.6 
   23.38    203.39     -6.09     -85.4     -36.4     -10.1       6.3     -15.0       0.4 
   22.95    200.96     -1.29     -87.8     -31.4      -2.0       6.3     -21.0      -4.1 
   23.31    200.21     -1.26     -80.8     -30.7      -2.1       1.8     -17.5       1.3 
   23.31    202.58     -7.23     -81.6     -32.8     -11.1       0.7     -16.0      -0.3 
   23.22    200.31     -2.15     -92.6     -31.8      -3.6       0.7     -18.8      -1.5 
   23.25    202.94       0.3     -88.9     -34.6       0.5       1.1     -18.6      -2.5 
   22.93    205.09     -2.45     -80.3     -36.5      -3.5       8.7     -19.2      -1.2 
   23.43    202.67      0.61     -83.4     -32.0       0.9       3.4     -19.3      -1.2 
   23.24     203.4     -5.75     -74.2     -36.5      -9.0       3.2     -17.6       0.9 
   23.07     201.5      0.36     -77.4     -31.6       0.5       1.8     -17.0      -2.3 
   23.45    193.99     -1.24     -92.0     -23.6      -1.9       4.2     -17.6       2.8 
   23.32    201.41     -1.96     -84.1     -33.9      -3.2       3.6     -19.7       0.0 
   22.96    205.18      0.38     -87.4     -37.1       0.6       6.3     -20.0       1.2 
   23.29    202.35      0.53     -76.3     -36.9       0.8       1.1     -19.4       0.4 
   23.27    205.49     -8.11     -78.0     -38.0     -13.3       3.7     -19.8       3.7 
   23.49    204.22     -4.64     -75.3     -36.5      -6.7       5.5     -17.5      -2.1 
   23.27    202.94     -1.89     -80.3     -35.7      -2.9       4.2     -21.4      -0.3 
   23.32    203.42     -3.53     -77.4     -34.8      -5.9       1.5     -16.1       0.0 
   22.44     198.4     -3.01     -81.1     -27.9      -4.5       2.4     -18.9       1.6 
   23.48    205.02      -0.9     -89.6     -37.7      -1.4       0.5     -18.2      -1.3 
   23.35    202.34      -2.3     -81.4     -34.4      -3.3       5.4     -18.6      -1.9 
